stationNumber,x,y,z
1,-22.931873478500002,-16.3837565493,1.4447216712178998
2,-20.702882207899997,-17.7111803396,1.4417769497203998
3,-13.9226648242,-16.4237005148,1.50761283201673
5,-21.4290086128,-16.4005633502,1.4448976455520999
6,-24.4664524646,-13.863389892699999,1.4550223165917
7,-23.6790810442,-15.0931110133,1.4521898610025001
8,-22.8971444231,-13.7172705903,1.4581582183366
9,-22.1601760833,-15.0979506105,1.4526291760849999
10,-22.205782276999997,-17.7093789262,1.4407333995629001
11,-26.237722496900002,15.0003542315,1.601951182069
12,-26.6140603586,15.6670062813,1.5987862699426
13,-25.8630533383,15.6917420913,1.6003706197229999
14,-22.1764320519,-12.4852152158,1.4617900980543
15,-27.3441899072,14.8073439846,1.599612233077
16,-17.6850551523,-12.492874954700001,1.4667611468698
17,-27.3541959439,14.8073690006,1.599569326946
18,-23.672063251700003,-12.4905548764,1.4623612502629
19,-27.364870643,14.800435623199999,1.59272966099
20,-26.2253737817,15.4418882388,1.5976148336019
21,-19.930314953699998,-13.8066944143,1.4582020185199
22,-26.2253285802,15.4598992475,1.5975712500609
23,-26.620738273700002,14.794976927699999,1.5976273893276
24,-26.988656291399998,15.4441448837,1.602099609354
25,-26.2333761103,15.4429088603,1.5975794902048999
26,-21.4273944035,-13.7777117129,1.4601376679038
27,-26.9850401215,15.0170334755,1.5995279852621
28,-26.2276874533,16.314232531600002,1.5954268107376
29,-26.9905637932,15.8712644193,1.5933696055349
30,-26.612959915,15.2292917274,1.5908342671154
31,-15.429107307099999,-16.4101977881,1.4537757632611001
32,-27.3441899072,14.8073439846,1.599612233077
33,-16.9413433407,-19.003976964,1.4410998751613
34,-16.186483651299998,-17.714119777100002,1.4475120651677
35,-19.1561196322,-12.5062693323,1.4662219553729998
36,-17.7142049733,-16.0318072158,1.4541519489647001
37,-30.3970720926,-23.7642725616,1.4272530557436
38,-17.670470008,-17.7151656833,1.4456757151819
39,-26.2254004005,15.431281755899999,1.5976404755955
40,-20.6682743139,-12.5031484838,1.4649135555377
41,-26.228117703299997,15.4479267004,1.609119028483
42,-26.2394793976,14.5783473412,1.5852253914557
43,-18.4421979147,-13.8048167266,1.4612565569645002
44,-17.6815350913,-15.113316884,1.4598720944214
45,-16.9255195484,-13.8185191295,1.463646268082
46,-19.1878300299,-15.1009799669,1.4574936021194
47,-25.8622937988,15.6588729151,1.5976147001152001
48,-15.430596785399999,-13.810422504,1.4656306356682
49,-16.9368850595,-16.401429906,1.4522478849245002
50,-25.4903044924,15.009798962000001,1.5907255265690001
51,-14.6947251411,-20.3357168225,1.4350341492314
52,-15.436045826600001,-19.0158232823,1.4426300161469001
53,-16.165318030399998,-15.1126798247,1.4575612492777
54,-25.4876585223,15.8773846129,1.5915487651559
55,-21.4387822116,-11.2056286003,1.4688827587118
56,-19.1142178035,10.8630999489,1.5461972723036
57,-22.921288279,-11.1969325525,1.4686995699854002
58,-16.1817462097,-12.5094399869,1.4672443828739
59,-19.1042117693,10.863074862400001,1.5462272536783
60,-18.3729710055,9.57343307903,1.5389352981955
61,-14.6822296932,-17.7249272546,1.4475471827992001
62,-17.6282899201,10.8573513033,1.5377212927936
63,-18.4083531707,-16.4112906221,1.4528807568836
64,-16.9260316037,-16.4027079818,1.4522033606127
65,-20.6643324378,-15.1182675341,1.4556759261607002
66,-13.974267877,-18.9656638321,1.4448255372803
67,-17.6483332643,-16.875516644399998,1.4508709466478
68,-14.675250197499999,-15.1096942425,1.4590060263163
70,-13.9158846028,-16.399097098499997,1.4552108146651002
71,-22.8583598369,17.4020919058,1.5687697664478
72,-26.619247633399997,16.0988261352,1.601775978814
73,-24.3637200884,17.388618434,1.5838016526563998
74,-22.8657090735,17.393452496000002,1.5752071645706
75,-25.8662568339,17.4024209132,1.593705506307
76,-25.8580874965,17.410068310499998,1.5875075767975
77,-23.6079264583,16.0907660885,1.5805870449871
78,-22.1163424218,16.0865396578,1.5713469570969
79,-24.3682816046,14.794569561500001,1.5860194952888
80,-25.1118992683,16.1020908235,1.5909421417829999
81,-24.3623868158,14.8050082284,1.5847076725281999
82,-22.1143472264,13.4910821485,1.5616207726003
83,-22.8650382153,14.7909156821,1.5770565371718002
84,-22.8782145748,12.192869054099999,1.5627822929902
85,-22.8728869561,12.2025816812,1.5627827417802
86,-25.8765412603,12.1999736028,1.5756445650624
87,-24.3846395558,12.171980704,1.5698684927122
88,-25.8701044147,12.209113110399999,1.5756530977971999
89,-25.8707376933,14.7990768733,1.592769834899
90,-26.6231320883,13.5000748901,1.5917786521575
91,-25.122526932,13.4963338655,1.585445482773
92,-23.6192051545,13.494879012,1.5703848688912998
93,-27.3570834082,14.8173766036,1.5927235635694001
94,-27.3630000134,14.8082057364,1.5927195834599
95,-21.3739727416,14.803600404200001,1.5671910084535
96,-21.378830999500003,14.7935063179,1.5671882419757002
97,-26.2311710873,15.882010903300001,1.5910567961189999
98,-26.559295203199998,15.269962720199999,1.5909601102951
99,-25.858138083900002,15.2262769475,1.5867920947668
101,-8.66064225967,-7.34839690312,1.4936314198076
102,-8.6610007881,-9.93853462399,1.4878998079432
103,-10.154110517700001,-7.3260294986600005,1.49460740499308
104,-9.45350346378,-5.968598119219999,1.49786203487368
105,-7.16738502228,-9.9140164353,1.4875589276499
106,-4.918975189349999,-11.2462040346,1.4802895983935
107,-4.89917132692,-6.0483110150399995,1.49421413546244
108,-10.9029317168,-6.028472449980001,1.4983256502082098
109,-10.2155265295,-4.67671945759,1.50028012249582
110,-7.89274539603,-6.0364800132,1.4947174564315602
111,-3.41398840092,-11.2479135817,1.4810483835014
112,-4.90666852995,-8.644211193339999,1.4895090396013
113,-4.16321475713,-9.94989367908,1.4861177252968
114,-5.64051766092,-4.73448956156,1.49818649151352
115,-19.1598414645,-9.91407219019,1.4841212082852
116,-7.13546154014,-4.74952229108,1.49803002889768
117,-6.40166625014,-6.03740956297,1.49603521169585
118,-8.64327962082,-4.74255058351,1.499882649928865
119,-5.64802103015,-7.3421660792,1.49239333920899
120,-30.3970720926,-23.7642725616,1.4272530557436
121,-9.42372137227,-16.4071454682,1.4654481947777
122,-4.151445529169999,-7.33923556629,1.4912048640128202
123,-20.6479804149,-9.96323315758,1.4808266240124999
124,-19.926246346299997,-11.211583273399999,1.4772604638744
125,-13.187531084,-17.7120034578,1.4573744768588002
126,-19.9685792572,-8.59284846085,1.488566701176
127,-19.1622829286,-7.31626496248,1.49454387842868
128,-13.1722338262,-15.1326642845,1.4676381898601
129,-20.6492868019,-7.28581597885,1.492844213792
130,-19.9545868694,-6.02354843282,1.49891366060728
131,-9.41192397858,-8.63074515819,1.49145707281399
132,-4.1638504995200005,-12.5491646578,1.4772883743402
133,-5.66450651242,-12.547958464699999,1.4782360917744999
134,-5.69515979444,-9.86570642068,1.4851465703893
135,-7.16561980525,-12.5458003692,1.4791025715535
136,-30.3970720926,-23.7642725616,1.4272530557436
137,0.330672477777,-15.1688098737,1.465677012498
138,-7.90835516204,-8.643283257270001,1.49073882876878
139,-7.14918832489,-7.341231722270001,1.49279044925552
140,-6.39165459052,-8.64636954251,1.49065260417573
141,1.104013424,-6.0653536608300005,1.4872015345443002
142,-6.40966996302,-11.2424848905,1.4826840908132002
143,-8.66450370327,-12.5408454446,1.4795947744127
144,-7.910092283209999,-11.2401191084,1.4834262081706
145,-7.91683421579,-13.8401894395,1.4748897255555
146,-6.416047433529999,-13.848312470000002,1.4745660531855
147,-4.91837752835,-13.8469608662,1.4738079469762
148,-10.1660542818,-12.5425563316,1.4793078110934
149,-9.42172749993,-13.8382284892,1.4746012566898001
150,-9.41498884444,-11.2348095357,1.4837744394058
151,-10.1704196843,-9.95238737339,1.488872851224
152,-14.698049449,-12.4994149451,1.4756209869243
153,-13.9104123129,-13.832626439899999,1.4714543194179
154,-12.427074235500001,-13.8452020646,1.4729354484783
155,-13.1834111328,-12.5193527233,1.477147879946
156,-11.6459089179,-9.915903542219999,1.4889697919625
157,-12.395029488399999,-11.228764409,1.4822968240729002
158,-10.9186656054,-11.238217863300001,1.4838347500719
159,-16.925219869299998,-8.621540679899999,1.4890380776965
160,-16.164464999,-9.91498072215,1.4857933775910002
161,-15.4216813191,-8.622425550500001,1.4912343917048398
162,-13.831476197899999,-8.640645751100001,1.4906614818549
163,-15.415855647899999,-11.221054303299999,1.4802233360879
164,-14.6956442138,-9.93683125753,1.4809278673945
165,-13.8955797617,-11.240252717999999,1.4807680404383
166,-13.1796333637,-9.94114625575,1.4863295196633
167,-10.1762467129,-15.138716144,1.4687101444816
168,-11.644454116999999,-15.1398792444,1.4686992493021
169,-10.9226479805,-13.836647211499999,1.4740441592909002
170,-11.6838654014,-12.5454552258,1.4781757512017
171,-11.640243801799999,-7.3318369830600005,1.49485502330956
172,-12.4107747719,-8.630292985550001,1.49146429931031
173,-10.9079944791,-8.660082378110001,1.4927572342264601
174,-13.2079868928,-7.38442863248,1.4962744146370301
175,-14.593079530999999,-4.77318088611,1.5021563100674
176,-13.9673678856,-6.02837125499,1.500109169706833
177,-15.4051561148,-5.98504114,1.4998238987972041
178,-14.7364280923,-7.37606999041,1.4958603387103502
179,-12.4181708564,-5.9811760324200005,1.4994738611585932
180,-18.4468477383,-11.262557754400001,1.4777946918055
181,-17.658483467499998,-9.9266289443,1.4855191637657998
182,-16.8920487671,-11.203848158500001,1.4795699270509002
183,-13.121981122200001,-4.8086293516100005,1.50277151691831
184,-18.5102363027,-8.631782542340002,1.49083710653117
185,-6.40116168201,-8.643152757980001,1.49003745539535
186,-7.15995210974,-7.34397655431,1.49303522180204
187,-18.4281542892,-6.03117299188,1.5021232120109
188,-16.8691802867,-6.08515172086,1.4990097484034262
189,-16.0998279227,-7.28503647626,1.49490390883727
190,-17.660187752400002,-7.3115497003500005,1.49539945960626
191,-7.17335126662,-15.1406332186,1.4699142958592
192,-8.72448841679,-15.1370230819,1.4695223371843
193,-7.83390735634,-16.4492553928,1.4647873209988
194,-5.67070013913,-15.1432702051,1.470258979606
195,-4.92452899738,-16.4405108849,1.4655159099205
196,-10.932649010499999,-16.4266240096,1.4647131926397998
197,-12.4305109305,-16.4240141736,1.4629002679585001
198,-6.4312813126299995,-16.4488014341,1.4660749366749999
199,-10.175686406,-17.6863518653,1.4588547041193
200,-7.17987255564,-17.7344713868,1.4590511584052002
201,-8.69783099146,-17.6992583919,1.4604924209287
202,-5.67919327632,-17.7332018872,1.4588854413725
203,-7.894281244699999,-3.43610794152,1.5017726306747499
204,-6.3931337066400005,-3.44617354296,1.499036263706334
205,-9.40114571221,-3.4361032304,1.50289230489581
206,-7.1402924022,-2.15165868116,1.500434505033243
207,-1.16136545774,-9.95506472957,1.4837209488223
208,1.8393602653099999,-12.573719295499998,1.4715923114212002
209,-3.39752386258,-6.054127032659999,1.49220396611604
211,-2.64372484827,-4.75377806168,1.49351568735338
212,-4.14638257799,-4.75170234011,1.49533845074256
213,-5.6379738472600005,-2.1534117253700003,1.49805680819362
214,-1.8978802271300002,-6.056728720410001,1.4930231908288598
215,-4.88953997345,-3.44973225878,1.49803245493605
216,-4.13873193908,-2.15951161428,1.50132225941087
217,-3.3871066877600002,-3.4575102657000003,1.49633174992559
218,-2.65052401954,-7.3550272974999995,1.4898258738046999
219,-2.6500638417899998,-12.5574686889,1.4765095015804
220,-1.90963686683,-11.260274607400001,1.4798434784963999
221,1.09780808183,-11.260826442199999,1.4762136376232
222,-4.16807114543,-15.1555290845,1.4689371739748
223,-2.6566441467599997,-9.955543412339999,1.4836932546136
224,-2.67124526337,-15.159710592900002,1.4685586566638
225,-1.1615962423900001,-12.5634394846,1.4767918753856
226,-1.90587324495,-8.658771689429999,1.4856596660764
227,0.339062404065,-12.5684547017,1.4741585923681
228,0.31456224143100003,-17.7580501417,1.4583933722873001
229,-3.40455983982,-8.64536791439,1.4882648403181
230,2.5981525100700003,-8.670826199179999,1.4781491254673
231,-1.91608034794,-13.8596447364,1.4723166997825001
232,-3.41737044774,-13.8555850596,1.4736186963858
